source,target,type,weight
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
ARCH 11A,ARCH 100A,directed,3
ARCH 11B,ARCH 100A,directed,3
ARCH 100A,ARCH 100B,directed,3
ARCH 100B,ARCH 100C,directed,3
ARCH 100B,ARCH 100D,directed,3
ARCH 100B,ARCH 102A,directed,3
ARCH 102A,ARCH 102B,directed,3
ARCH 100B,ARCH 108,directed,3
ARCH 160,ARCH 169,directed,3
