source,target,type,weight
COMPSCI 88,COMPSCI C8,directed,3
COMPSCI 9G,COMPSCI 47B,directed,3
COMPSCI C8,COMPSCI 88,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI C8,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI C100,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI 169A,directed,3
COMPSCI 70,COMPSCI 169A,directed,3
COMPSCI 169A,COMPSCI 169L,directed,3
COMPSCI 70,COMPSCI L182,directed,3
COMPSCI 61B,COMPSCI L182,directed,3
COMPSCI 189,COMPSCI L182,directed,3
COMPSCI 70,COMPSCI W182,directed,3
COMPSCI 61B,COMPSCI W182,directed,3
COMPSCI 189,COMPSCI W182,directed,3
COMPSCI 88,COMPSCI C8,directed,3
COMPSCI 9G,COMPSCI 47B,directed,3
COMPSCI C8,COMPSCI 88,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI C8,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI C100,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI 169A,directed,3
COMPSCI 70,COMPSCI 169A,directed,3
COMPSCI 169A,COMPSCI 169L,directed,3
COMPSCI 70,COMPSCI L182,directed,3
COMPSCI 61B,COMPSCI L182,directed,3
COMPSCI 189,COMPSCI L182,directed,3
COMPSCI 70,COMPSCI W182,directed,3
COMPSCI 61B,COMPSCI W182,directed,3
COMPSCI 189,COMPSCI W182,directed,3
COMPSCI 88,COMPSCI C8,directed,3
COMPSCI 9G,COMPSCI 47B,directed,3
COMPSCI C8,COMPSCI 88,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI C8,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI C100,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI 169A,directed,3
COMPSCI 70,COMPSCI 169A,directed,3
COMPSCI 169A,COMPSCI 169L,directed,3
COMPSCI 70,COMPSCI L182,directed,3
COMPSCI 61B,COMPSCI L182,directed,3
COMPSCI 189,COMPSCI L182,directed,3
COMPSCI 70,COMPSCI W182,directed,3
COMPSCI 61B,COMPSCI W182,directed,3
COMPSCI 189,COMPSCI W182,directed,3
COMPSCI 88,COMPSCI C8,directed,3
COMPSCI 9G,COMPSCI 47B,directed,3
COMPSCI C8,COMPSCI 88,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI C8,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI C100,directed,3
COMPSCI 88,COMPSCI C100,directed,3
COMPSCI 61A,COMPSCI 169A,directed,3
