source,target,type,weight
ARMENI 1A,ARMENI 1B,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
BOSCRSR 27B,BOSCRSR 27A,directed,3
BOSCRSR 27A,BOSCRSR 27B,directed,3
BOSCRSR 27B,BOSCRSR 117A,directed,3
BOSCRSR 117B,BOSCRSR 117A,directed,3
BOSCRSR 27B,BOSCRSR 117B,directed,3
BOSCRSR 117A,BOSCRSR 117B,directed,3
CZECH 26B,CZECH 26A,directed,3
CZECH 26A,CZECH 26B,directed,3
CZECH 26B,CZECH 116A,directed,3
CZECH 116B,CZECH 116A,directed,3
CZECH 26B,CZECH 116B,directed,3
CZECH 116A,CZECH 116B,directed,3
CZECH 116A,CZECH 163,directed,3
CZECH 116B,CZECH 163,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
ARMENI 1A,ARMENI 1B,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
BOSCRSR 27B,BOSCRSR 27A,directed,3
BOSCRSR 27A,BOSCRSR 27B,directed,3
BOSCRSR 27B,BOSCRSR 117A,directed,3
BOSCRSR 117B,BOSCRSR 117A,directed,3
BOSCRSR 27B,BOSCRSR 117B,directed,3
BOSCRSR 117A,BOSCRSR 117B,directed,3
CZECH 26B,CZECH 26A,directed,3
CZECH 26A,CZECH 26B,directed,3
CZECH 26B,CZECH 116A,directed,3
CZECH 116B,CZECH 116A,directed,3
CZECH 26B,CZECH 116B,directed,3
CZECH 116A,CZECH 116B,directed,3
CZECH 116A,CZECH 163,directed,3
CZECH 116B,CZECH 163,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
POLISH 25B,POLISH 25A,directed,3
